id,title,artist_id,genre,year
223,I’m The Problem,14,Country,2025
224,F1 The Album,13,Pop,2025
225,she's all i wanna be - Single,13,Pop,2022
226,all the things i never said - EP,13,Pop,2020
227,DRIVE,15,Dance,2022
228,TOO YOUNG TO BE SAD (Apple Music Edition) - EP,13,Pop,2021
229,One Day - Single,13,Pop,2017
230,stupid - Single,13,Pop,2019
231,THINK LATER,13,Pop,2023
232,lie to me - Single,16,Pop,2020
233,i used to think i could fly,13,Pop,2022
234,Teenage Mind - Single,13,Pop,2018
235,Just Keep Watching (From F1® The Movie) - Single,13,Pop,2025
236,vicious,13,Pop,2020
237,rubberband - Single,13,Pop,2021
238,slower (Apple Music Edition) - Single,13,Pop,2021
239,greedy - Single,13,Pop,2023
240,exes - Single,13,Pop,2023
241,don't be sad - Single,13,Pop,2020
242,tear myself apart - Single,13,Pop,2019
243,You - Single,40,Dance,2021
244,that way - Single,41,Pop,2021
245,Hung up on You - Single,13,Pop,2017
246,It's ok I'm ok - Single,13,Pop,2024
247,Wishbone,17,Pop,2025
248,Kid Krow,17,Pop,2020
249,Memories - Single,17,Pop,2022
250,Superache,17,Pop,2022
251,People Watching - Single,17,Pop,2021
252,Astronomy - Single,17,Pop,2021
253,Sunset Season - EP,17,Pop,2018
254,Telepath - Single,17,Pop,2021
255,The King - Single,17,Pop,2019
256,Found Heaven,17,Pop,2024
257,The Other Side - Single,17,Pop,2019
258,Grow - Single,17,Pop,2017
259,Kid Krow (Bonus Videos Edition),17,Pop,2019
260,Never Ending Song - Single,17,Alternative,2023
261,Superache (Bonus Videos Edition),17,Pop,2021
262,Blurryface,18,Alternative,2015
263,Suicide Squad: The Album,18,Alternative,2016
264,Trench,18,Alternative,2018
265,Vessel,18,Alternative,2011
266,Breach,18,Alternative,2025
267,Clancy,18,Alternative,2024
268,Level of Concern - Single,18,Alternative,2020
269,Scaled And Icy,18,Alternative,2021
270,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),42,Pop,2024
271,Cancer - Single,18,Alternative,2016
272,Twenty One Pilots,18,Rock,2009
273,The Craving (single version) - Single,18,Alternative,2024
274,Lover,19,Pop,2019
275,1989,19,Pop,2014
276,Fearless (Platinum Edition),19,Country,2008
277,Taylor Swift (Bonus Track Version),19,Country,2006
278,Red,19,Country,2012
279,reputation,19,Pop,2017
280,Fearless,19,Country,2008
281,Midnights (3am Edition),19,Pop,2022
282,Speak Now,19,Country,2010
283,Fearless (Taylor's Version),19,Country,2021
284,Fifty Shades Darker (Original Motion Picture Soundtrack),20,Soundtrack,2016
285,New Money,43,Country,2023
286,folklore,19,Alternative,2020
287,Midnights,19,Pop,2022
288,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,19,Pop,2024
289,Taylor Swift + Partner in Crime - Single,44,Country,2022
290,Speak Now (Taylor's Version),19,Pop,2023
291,1989 (Deluxe Edition),19,Pop,2014
292,Thriller,21,Pop,1982
293,Off the Wall,21,Pop,1979
294,The Essential Michael Jackson,21,Pop,1987
295,Dangerous,21,Pop,1991
296,XSCAPE (Deluxe),21,Pop,2014
297,Invincible,21,Pop,2001
298,Michael Jackson's This Is It (The Music That Inspired the Movie),21,Soundtrack,1996
299,Bad (25th Anniversary Edition),21,Pop,1987
300,Scorpion,22,Hip-Hop/Rap,2018
301,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",21,Pop,1995
302,XSCAPE (Deluxe),23,Pop,2014
303,Bad,21,Pop,1987
304,Number Ones,21,Pop,2001
305,Live Talkin' Sh--,45,Comedy,2005
306,Abbey Road (Remastered),24,Rock,1969
307,Help!,24,Rock,1965
308,Rubber Soul,24,Rock,1965
309,Let It Be,24,Rock,1970
310,The Beatles 1967-1970 (The Blue Album),24,Rock,1968
311,Power To The People (New York City - The Ultimate Mixes),25,Rock,2025
312,The Beatles (The White Album),24,Rock,1968
313,Please Please Me,24,Rock,1963
314,Revolver,24,Rock,1966
315,Magical Mystery Tour,24,Rock,1967
316,"Past Masters, Vols. 1 & 2",24,Rock,1963
317,Sgt. Pepper's Lonely Hearts Club Band,24,Rock,1967
318,A Hard Day's Night,24,Rock,1964
319,Yellow Submarine,24,Rock,1966
320,With The Beatles,24,Rock,1963
321,Beatles For Sale,24,Rock,1964
322,Abbey Road (2019 Mix),24,Rock,1969
323,Anthology 4,24,Rock,2010
324,Discovery,26,Dance,2000
325,Random Access Memories,27,Pop,2013
326,Homework,26,Dance,1997
327,Random Access Memories,28,Pop,2013
328,Starboy,29,R&B/Soul,2016
329,Random Access Memories,30,Pop,2013
330,Human After All,26,House,2005
331,Random Access Memories,31,Pop,2013
332,"PTX, Vol. II - EP",32,Pop,2013
333,PTX,32,Pop,2014
334,Alive 2007,26,Electronic,2007
335,Random Access Memories,26,Pop,2013
336,Happiness Forever,32,Pop,2013
337,Around the World - EP,26,Dance,1997
338,TRON: Legacy (Original Motion Picture Soundtrack),26,Original Score,2010
339,Daft Punk - Single,33,Pop,2023
340,Random Access Memories,34,Pop,2013
341,Random Access Memories,46,Pop,2013
342,Starboy (Deluxe),29,R&B/Soul,2016
343,Han Yo Han,47,K-Pop,2021
344,Random Access Memories (10th Anniversary Edition),27,Pop,2013
345,Homework (25th Anniversary Edition),26,Dance,1997
346,TRON: Legacy - The Complete Edition (Original Motion Picture Soundtrack),26,Original Score,2010
347,2010s Hits,27,Electronica,2013
348,Random Access Memories (10th Anniversary Edition),48,Dance,2013
